Base Peak MZ,Component RT,Base Peak Area,Component Area,Compound Name,Match Factor,Sample Name,File Name
44.91,4.90444201908411,840.653119659424,2288.80939216821,"Propane, 2-ethoxy-",80.1143892149361,V12.3_ac.ta2_01262021_mature,V12.3_ac.ta2_01262021_mature.D
45,4.90448083472098,1457.0298693943,4854.21985936328,Diethyl carbitol,79.9841879132274,V9.11_cx.zm4_01192021_mature,V9.11_cx.zm4_01192021_mature.D
44.91,4.90456374356431,867.269862545115,1868.22805490212,Acetoin,77.1714226454983,V13.3_ec.si1_01272021_mature,V13.3_ec.si1_01272021_mature.D
44.93,4.90465485158858,1457.0298693943,5068.7466658627,"Propane, 2-ethoxy-",83.45900276524,V9.11_cx.zm4_01192021_mature,V9.11_cx.zm4_01192021_mature.D
45,4.90495641772407,893.001412735777,2855.30095260581,"Propane, 2-ethoxy-",76.2769791789931,V9.3_ex.ft3_01182021_mature,V9.3_ex.ft3_01182021_mature.D
45,4.90500846193832,1142.17063380718,3771.94424168177,"2-Propanol, 1-(1-methylethoxy)-",72.4132820446363,V12.1_ex.ta3_01262021_mature,V12.1_ex.ta3_01262021_mature.D
45,4.90521006055616,1217.24595286179,3005.45939197395,(S)-Isopropyl lactate,80.7775987535554,V8.1_bx.ts3_01052021_young,V8.1_bx.ts3_01052021_young.D
44.95,4.90529080160296,997.557624414441,2692.3433772324,"Propane, 2-ethoxy-",89.1639040869722,V9.1_cx.ft3_01182021_mature,V9.1_cx.ft3_01182021_mature.D
45,4.90601408760451,1045.72843985171,2238.35086216276,"Ethanol, 2-(1-methylethoxy)-",75.7801350116645,V13.3_ec.si1_01272021_mature,V13.3_ec.si1_01272021_mature.D
43,4.90618653127822,960.4668548568,4636.70702560639,"2-Propanol, 1-propoxy-",84.8382309996103,V6.4_ac.ac1_12312020_young,V6.4_ac.ac1_12312020_young.D
45,4.90619462393686,1080.59377496719,4235.07412698861,"Propane, 2-ethoxy-",86.7517341627738,V6.3_dc.ac1_12312020_young,V6.3_dc.ac1_12312020_young.D
44.91,4.90629154182802,1217.24595286179,5216.55468615076,"Propane, 2-ethoxy-",90.2311219076634,V8.1_bx.ts3_01052021_young,V8.1_bx.ts3_01052021_young.D
45,4.90637343121475,820.278035548035,1843.69313833746,2-Butanol,70.4637284279611,V12.2_cc.ta2_01262021_mature,V12.2_cc.ta2_01262021_mature.D
43,4.90638647514549,866.625501712799,1852.50558903204,Acetoin,67.1864031258809,V8.2_dc.ts2_01052021_young,V8.2_dc.ts2_01052021_young.D
44.97,4.90639294489844,820.278035548035,2066.65513926364,(S)-Isopropyl lactate,80.7956554423414,V12.2_cc.ta2_01262021_mature,V12.2_cc.ta2_01262021_mature.D
44.95,4.90892775843358,1214.02642955971,3141.1652065842,"Propane, 2-ethoxy-",86.793332848169,V7.3_dx.aa4_01042021_young,V7.3_dx.aa4_01042021_young.D
45,4.90930226024099,1029.6549540596,5055.90114561032,"Propane, 2-ethoxy-",77.1286246452006,V7.1_dx.aa3_01042021_young,V7.1_dx.aa3_01042021_young.D
44.91,4.90931205025359,630.439949359897,2373.1772964098,"2-Propanone, 1-(1,3-dioxolan-2-yl)-",80.5746640960636,V13.2_dc.si2_01272021_mature,V13.2_dc.si2_01272021_mature.D
44.94,4.90949094546588,1006.558390028,3041.27913226335,"Propane, 2-ethoxy-",89.8092297246837,V9.2_ex.ft4_01182021_mature,V9.2_ex.ft4_01182021_mature.D
45,4.91168320976474,1006.558390028,2325.81102687907,(S)-Isopropyl lactate,84.3766247305477,V9.2_ex.ft4_01182021_mature,V9.2_ex.ft4_01182021_mature.D
43,4.91213040671768,1092.86966879844,3504.09144429575,2-Ethoxypentane,86.172147092841,V8.3_dx.ts2_01052021_young,V8.3_dx.ts2_01052021_young.D
73,4.91325793750362,405.041733089568,326.021734527217,"2-Butanone, 3-methoxy-3-methyl-",60.7194580577423,V13.1_ec.si2_01272021_mature,V13.1_ec.si2_01272021_mature.D
43,4.91926139627737,1171.74860114642,1418.31686162087,"2-Propanol, 1-(1-methylethoxy)-",57.8924462985388,V12.1_ex.ta3_01262021_mature,V12.1_ex.ta3_01262021_mature.D
45,4.92487075285473,1296.06568589974,779.557519970853,"Propane, 2-ethoxy-",74.4168158207354,V7.2_bc.aa2_01042021_young,V7.2_bc.aa2_01042021_young.D
